Patient_Index,Neighbor_Rank,Neighbor_Index,Distance_Similarity
63,5,263,4.3034586741978815
64,1,156,2.8437291998858862
64,2,289,2.99656474409513
64,3,139,3.007771760836584
64,4,291,3.148128083857786
64,5,148,3.1534310111380277
65,1,189,4.473381542629748
65,2,19,4.568256747354407
65,3,100,4.717318862977561
65,4,97,4.821563065756796
65,5,116,4.883522887746382
66,1,122,2.9314299380891393
66,2,23,3.021387058766418
66,3,221,3.3016590328487467
66,4,297,3.3463377988676055
66,5,189,3.4740648468040347
67,1,250,2.9485690871472094
67,2,189,3.0415973909470697
67,3,249,3.463031546317478
67,4,122,4.3853997163514515
67,5,317,4.401980625573909
68,1,287,2.432362215473386
68,2,251,2.722956069075994
68,3,272,2.876903043117948
